SMARTS	Target	Training LR
NCCN(CC)CC	INACTIVE	inf
Cn1ccnc1	INACTIVE	inf
CC=CC(=O)O	INACTIVE	inf
C(=O)C=C(C)C=CCCCCCC(C)C	ACTIVE	91.59
CC(=O)c1ccccc1	INACTIVE	inf
COP(OC)	INACTIVE	inf
Nc1cccc(Cl)c1	INACTIVE	inf
Oc1ccc(Cl)cc1	INACTIVE	inf
C(=O)c2cccc(O)c2	INACTIVE	inf
Sc1ccc(C)cc1	INACTIVE	inf
CS(=O)O	INACTIVE	inf
C(=O)OCc1ccccc1	INACTIVE	inf
C=CC(F)	ACTIVE	105.68
CC(Cl)Cl	INACTIVE	inf
CCCCCCCCCN(C)C	INACTIVE	inf
CC(C)c1ccc(C)cc1	INACTIVE	inf
CNCOC	INACTIVE	inf
COCCOCCOC	INACTIVE	inf
Cc1cccn1	INACTIVE	inf
c1ccnn1	INACTIVE	inf
c1ccc(S)c(C)c1	INACTIVE	inf
c1cc(C)cc(C(C)C)c1	INACTIVE	inf
C[Si]	INACTIVE	inf
CCC(C)C(=O)OCC	INACTIVE	inf
CCCCCCCOCC1CCCCC1	ACTIVE	65.76
O=CCOc1ccccc1	INACTIVE	inf
c1ncncn1	INACTIVE	inf
CCc1ccc(Cl)cc1	INACTIVE	inf
CC1(C)CCC(C)C1(O)C	ACTIVE	648.18
Cc1ccco1	INACTIVE	2.13
C(=O)CCc1ccc(O)cc1	INACTIVE	inf
CCCCCC(=O)N(C)	INACTIVE	inf
COc1ccccc1N	INACTIVE	inf
Cc2cccs2	INACTIVE	inf
n2cccn(C)c2	INACTIVE	inf
CC(C)NCN	INACTIVE	inf
Nc1cccc2ccccc12	INACTIVE	inf
CC(C)OCc1ccccc1	INACTIVE	inf
OCCC(O)(CCCC(C)(C))CO	ACTIVE	77.50
P(C)	INACTIVE	inf
C(=C(c1ccccc1)c1ccccc1)	INACTIVE	inf
C(N)CCC(=O)O	INACTIVE	inf
NOC	INACTIVE	inf
c2ccc(C(C)(C)c3ccccc3)cc2	INACTIVE	inf
O=CC(=O)	INACTIVE	inf
C(CCC(=O)CO)CCCCO	ACTIVE	469.70
CN(C)N	INACTIVE	inf
CC(O)c1ccc(O)cc1	INACTIVE	inf
CC=CCCC=CC	INACTIVE	inf
c1ccc(N)c([N+](=O)[O-])c1	INACTIVE	inf
C[N+][O-]	INACTIVE	inf
SCCO	INACTIVE	2.13
C=CCOCCO	INACTIVE	inf
OCCCOc1ccccc1	INACTIVE	inf
C(=O)CCCCC(=O)	INACTIVE	inf
C(O)(CCCC(C)(C))C(=O)	ACTIVE	228.98
c1cccc(CCl)c1	INACTIVE	inf
NCC=Cc1ccccc1	INACTIVE	inf
CCCC[n+]1ccccc1	INACTIVE	inf
SC(=S)	INACTIVE	inf
S(=O)CC	INACTIVE	inf
Cc1ccccc1C(=O)N	INACTIVE	inf
c1ccc(Cl)nc1	INACTIVE	inf
CC=C(C)C(=O)	INACTIVE	inf
C=C1CCC2C(CCCC2(C))C1CC	ACTIVE	352.27
C(=O)OCC=C	INACTIVE	1.49
CCCCc1ccc(OC(=O))cc1	ACTIVE	46.97
CCC(=N)	INACTIVE	1.12
C(CO)(CO)CO	INACTIVE	inf
C(=O)CC(=O)C	INACTIVE	inf
Oc1ccc2ccccc2c1	INACTIVE	inf
CCCC[N+](C)(CCCC)	INACTIVE	inf
P(Oc1ccccc1)	INACTIVE	inf
c1cccnn1	INACTIVE	inf
N(CCC)S	INACTIVE	inf
CC1(C)CCCC(C)(C)C1	INACTIVE	1.14
Nc1ccc(C)cc1C	INACTIVE	inf
CNc1cccc(O)c1	INACTIVE	inf
c1ccc(O)c(Br)c1	INACTIVE	inf
CCC(F)(F)	INACTIVE	inf
CCC(O)CC(N)(CO)	INACTIVE	inf
COC(=O)C(C)O	INACTIVE	1.77
N(C)CCOC(c1ccccc1)	INACTIVE	inf
C=Nc1ccccc1	INACTIVE	inf
CC(C#N)C	INACTIVE	inf
C=C1CCC2C(CCCC2)C1	ACTIVE	493.18
CCCC(C)C(=O)O	INACTIVE	4.08
NC(=S)N	INACTIVE	inf
CCCCCCCCCCCC(=O)OCC	INACTIVE	1.49
CC(CN=C)	INACTIVE	1.38
C(=O)SCC	INACTIVE	1.17
C(Cl)CCl	INACTIVE	inf
CCCCCCOc1ccccc1	INACTIVE	inf
C1CCCC2(C)C1CCC2C(C)C	INACTIVE	inf
CCC(C)(CCC(C)C)CO	ACTIVE	72.47
CC#N	INACTIVE	4.36
C1CO1	INACTIVE	1.15
O=C(O)c1cccc(C(=O))c1	INACTIVE	inf
OCOc1ccc(C)cc1	INACTIVE	inf
NCc1cccnc1	INACTIVE	inf
CCCNC(C)(C)C	INACTIVE	inf
C(CC)NC(=O)c1ccccc1	INACTIVE	inf
c2coc3cccc(O)c3c2	INACTIVE	inf
N=C(NC)NC	INACTIVE	inf
c1ccc(Nc2ccccc2)c(C)c1	INACTIVE	inf
c1c(C)cccc1c1ccccc1	INACTIVE	inf
Oc1ccc([N+](=O)[O-])cc1	INACTIVE	inf
C(=O)c1ccncc1	INACTIVE	inf
C(=O)c1ccccn1	INACTIVE	inf
C(Cc1ccccc1)C(=O)O	INACTIVE	1.58
CCNCC(C)c1ccccc1	INACTIVE	inf
Oc1cccc2ccccc12	INACTIVE	inf
Cc2ccc([N+](=O)[O-])cc2	INACTIVE	inf
c1ccc(SC)cc1	INACTIVE	inf
Nc2ccncc2	INACTIVE	inf
BrCCO	INACTIVE	inf
[Sn](C)	INACTIVE	inf
C(CN)(c1ccccc1)c1ccccc1	INACTIVE	inf
COC(=O)c1ccc(O)cc1	INACTIVE	inf
CC1=C(C)CCCC1(C)C	INACTIVE	inf
OO	INACTIVE	inf
O=S(c1ccccc1)c1ccccc1	INACTIVE	inf
Cc1ccc(c2ccccc2)cc1	INACTIVE	inf
CNC(=O)Nc1ccccc1	INACTIVE	inf
C2OC(C)CC2O	INACTIVE	inf
C3CCC3	INACTIVE	inf
C(=O)Cl	INACTIVE	inf
CCCCC=CCCCO	INACTIVE	1.53
CC(=O)OCCc1ccccc1	INACTIVE	inf
c1ccc(O)c2ncccc12	INACTIVE	inf
C(=O)c1cccc([N+](=O)[O-])c1	INACTIVE	inf
Oc1ccc(C(C)(C)C)cc1	INACTIVE	inf
C=Cc1ccc(OC)cc1	INACTIVE	inf
Cc2cc(OC)cc(O)c2	INACTIVE	inf
CCCCCCCCCBr	INACTIVE	inf
c1cc(Cl)c(C)c(Cl)c1	INACTIVE	inf
SCc1ccccc1	INACTIVE	inf
c1cc(=O)nc[nH]1	INACTIVE	inf
c1ncsc1CC	INACTIVE	inf
Cn2cccc2	INACTIVE	inf
P(N)	INACTIVE	inf
C(O)C1CCCC1	INACTIVE	1.53
c1ccco1	INACTIVE	1.37
CCN(CC)C1CCc2ccccc2C1	INACTIVE	inf
OCCN(C)c1ccccc1	INACTIVE	inf
NC(=O)c1ccccc1O	INACTIVE	inf
CCc1cc(O)ccc1O	INACTIVE	inf
C(C)C(=O)OCCN(C)	INACTIVE	inf
C(=O)c1cnccn1	INACTIVE	inf
Cc1ccnc(N)n1	INACTIVE	inf
CC[N+]2(C)CCCC2	INACTIVE	inf
c1ccc(=O)nc1	INACTIVE	inf
COCCCS	INACTIVE	inf
N(c1ccccc1)c1ccc(N)cc1	INACTIVE	inf
CCOC(=O)c1ccc(N)cc1	INACTIVE	inf
C(Nc1ccc(OCC)cc1)	INACTIVE	inf
COCc1ccccc1O	INACTIVE	inf
CCOc1cccc(O)c1	INACTIVE	inf
NNCc2ccccc2	INACTIVE	inf
CN1CCCC1=O	INACTIVE	inf
C1=CCC(=C1)	INACTIVE	inf
O[N+](=O)[O-]	INACTIVE	inf
OC(F)F	INACTIVE	inf
COCC(=O)O	INACTIVE	1.53
CCCCCCCOCc1ccccc1	INACTIVE	1.35
CCCCCC=CCCCCCCCC(=O)OC	INACTIVE	inf
Nc1ccc(Cc2ccccc2)cc1	INACTIVE	inf
C(c3ccccc3)c3ccc(Cl)cc3	INACTIVE	inf
OCCN(CCO)CCO	INACTIVE	inf
COCc1ccc(C)cc1	INACTIVE	inf
C(C)(CN(C))OC(=O)	INACTIVE	inf
CC(C)(C)C(=O)N	INACTIVE	inf
[Hg]c1ccccc1	INACTIVE	inf
n2nc(C)nc2	INACTIVE	inf
Cc1c[nH]cn1	INACTIVE	inf
c3nncs3	INACTIVE	inf
c1cnnn1	INACTIVE	inf
NNCN	INACTIVE	inf
BrC(Br)	INACTIVE	inf
CI	INACTIVE	inf
C(O)CCC=C(C)C	INACTIVE	2.27
COC(=O)CCOC	INACTIVE	1.24
CCC(OCC)COCC	ACTIVE	2.35
c1cnc[nH]c1	INACTIVE	2.16
C(=O)OCCOCC	INACTIVE	1.72
O=CCC(O)C(O)C	INACTIVE	1.60
CC1(C)CCCC1(O)	ACTIVE	133.32
n1cnnc1	INACTIVE	2.38
PO	INACTIVE	1.25
C(=O)CCN(C)C	ACTIVE	3.35
S(=O)(O)c1ccccc1	INACTIVE	2.63
